mobility	selfcare	activity	pain	anxiety	EQ5Dindex
1	3	2	2	2	0.547
1	3	2	2	3	0.540
1	3	2	2	4	0.434
1	3	2	2	5	0.323
1	3	2	3	1	0.558
1	3	2	3	2	0.532
1	3	2	3	3	0.526
1	3	2	3	4	0.419
1	3	2	3	5	0.309
1	3	2	4	1	0.447
1	3	2	4	2	0.422
1	3	2	4	3	0.415
1	3	2	4	4	0.336
1	3	2	4	5	0.254
1	3	2	5	1	0.282
1	3	2	5	2	0.256
1	3	2	5	3	0.250
1	3	2	5	4	0.211
1	3	2	5	5	0.172
1	3	3	1	1	0.618
1	3	3	1	2	0.593
1	3	3	1	3	0.586
1	3	3	1	4	0.480
1	3	3	1	5	0.369
1	3	3	2	1	0.560
1	3	3	2	2	0.535
1	3	3	2	3	0.528
1	3	3	2	4	0.422
1	3	3	2	5	0.311
1	3	3	3	1	0.546
1	3	3	3	2	0.521
1	3	3	3	3	0.514
1	3	3	3	4	0.408
1	3	3	3	5	0.297
1	3	3	4	1	0.436
1	3	3	4	2	0.410
1	3	3	4	3	0.404
1	3	3	4	4	0.325
1	3	3	4	5	0.242
1	3	3	5	1	0.270
1	3	3	5	2	0.245
1	3	3	5	3	0.238
1	3	3	5	4	0.200
1	3	3	5	5	0.160
1	3	4	1	1	0.553
1	3	4	1	2	0.528
1	3	4	1	3	0.521
1	3	4	1	4	0.437
1	3	4	1	5	0.350
1	3	4	2	1	0.495
1	3	4	2	2	0.470
1	3	4	2	3	0.463
1	3	4	2	4	0.379
1	3	4	2	5	0.292
1	3	4	3	1	0.481
1	3	4	3	2	0.456
1	3	4	3	3	0.449
1	3	4	3	4	0.365
1	3	4	3	5	0.278
1	3	4	4	1	0.389
1	3	4	4	2	0.364
1	3	4	4	3	0.357
1	3	4	4	4	0.291
1	3	4	4	5	0.223
1	3	4	5	1	0.251
1	3	4	5	2	0.225
1	3	4	5	3	0.219
1	3	4	5	4	0.180
1	3	4	5	5	0.141
1	3	5	1	1	0.420
1	3	5	1	2	0.395
1	3	5	1	3	0.388
1	3	5	1	4	0.350
1	3	5	1	5	0.310
1	3	5	2	1	0.362
1	3	5	2	2	0.337
1	3	5	2	3	0.330
1	3	5	2	4	0.292
1	3	5	2	5	0.252
1	3	5	3	1	0.348
1	3	5	3	2	0.323
1	3	5	3	3	0.316
1	3	5	3	4	0.278
1	3	5	3	5	0.238
1	3	5	4	1	0.293
1	3	5	4	2	0.268
1	3	5	4	3	0.261
1	3	5	4	4	0.223
1	3	5	4	5	0.183
1	3	5	5	1	0.211
1	3	5	5	2	0.186
1	3	5	5	3	0.179
1	3	5	5	4	0.141
1	3	5	5	5	0.101
1	4	1	1	1	0.614
1	4	1	1	2	0.588
1	4	1	1	3	0.582
1	4	1	1	4	0.492
1	4	1	1	5	0.399
1	4	1	2	1	0.556
1	4	1	2	2	0.531
1	4	1	2	3	0.524
1	4	1	2	4	0.434
1	4	1	2	5	0.341
1	4	1	3	1	0.542
1	4	1	3	2	0.516
1	4	1	3	3	0.510
1	4	1	3	4	0.420
1	4	1	3	5	0.327
1	4	1	4	1	0.445
1	4	1	4	2	0.420
1	4	1	4	3	0.413
1	4	1	4	4	0.344
1	4	1	4	5	0.272
1	4	1	5	1	0.300
1	4	1	5	2	0.274
1	4	1	5	3	0.268
1	4	1	5	4	0.229
1	4	1	5	5	0.190
1	4	2	1	1	0.566
1	4	2	1	2	0.541
1	4	2	1	3	0.534
1	4	2	1	4	0.445
1	4	2	1	5	0.351
1	4	2	2	1	0.509
1	4	2	2	2	0.483
1	4	2	2	3	0.477
1	4	2	2	4	0.387
1	4	2	2	5	0.294
1	4	2	3	1	0.494
1	4	2	3	2	0.469
1	4	2	3	3	0.462
1	4	2	3	4	0.373
1	4	2	3	5	0.279
1	4	2	4	1	0.398
1	4	2	4	2	0.372
1	4	2	4	3	0.366
1	4	2	4	4	0.296
1	4	2	4	5	0.225
1	4	2	5	1	0.252
1	4	2	5	2	0.227
1	4	2	5	3	0.220
1	4	2	5	4	0.182
1	4	2	5	5	0.142
1	4	3	1	1	0.555
1	4	3	1	2	0.529
1	4	3	1	3	0.523
1	4	3	1	4	0.433
1	4	3	1	5	0.340
1	4	3	2	1	0.497
1	4	3	2	2	0.472
1	4	3	2	3	0.465
1	4	3	2	4	0.375
1	4	3	2	5	0.282
1	4	3	3	1	0.483
1	4	3	3	2	0.457
1	4	3	3	3	0.451
1	4	3	3	4	0.361
1	4	3	3	5	0.268
1	4	3	4	1	0.386
1	4	3	4	2	0.361
1	4	3	4	3	0.354
1	4	3	4	4	0.285
1	4	3	4	5	0.213
1	4	3	5	1	0.241
1	4	3	5	2	0.215
1	4	3	5	3	0.209
1	4	3	5	4	0.170
1	4	3	5	5	0.131
1	4	4	1	1	0.501
1	4	4	1	2	0.475
1	4	4	1	3	0.469
1	4	4	1	4	0.396
1	4	4	1	5	0.320
1	4	4	2	1	0.443
1	4	4	2	2	0.418
1	4	4	2	3	0.411
1	4	4	2	4	0.338
1	4	4	2	5	0.263
1	4	4	3	1	0.429
1	4	4	3	2	0.403
1	4	4	3	3	0.397
1	4	4	3	4	0.324
1	4	4	3	5	0.248
1	4	4	4	1	0.346
1	4	4	4	2	0.321
1	4	4	4	3	0.314
1	4	4	4	4	0.255
1	4	4	4	5	0.193
1	4	4	5	1	0.221
1	4	4	5	2	0.196
1	4	4	5	3	0.189
1	4	4	5	4	0.151
1	4	4	5	5	0.111
1	4	5	1	1	0.391
1	4	5	1	2	0.365
1	4	5	1	3	0.359
1	4	5	1	4	0.320
1	4	5	1	5	0.281
